90 cm decrements in Y axis
INFO:root:Datetime: 28/07/2021 15:05:44 | position: 0.48 9.86 0.05
INFO:root:Datetime: 28/07/2021 15:05:45 | position: 0.47 9.83 0.07
INFO:root:Datetime: 28/07/2021 15:05:45 | position: 0.47 9.76 0.10
INFO:root:Datetime: 28/07/2021 15:05:45 | position: 0.50 9.77 0.10
INFO:root:Datetime: 28/07/2021 15:05:45 | position: 0.47 9.81 0.10
INFO:root:Datetime: 28/07/2021 15:05:46 | position: 0.46 9.78 0.10
INFO:root:Datetime: 28/07/2021 15:05:46 | position: 0.46 9.79 0.09
INFO:root:Datetime: 28/07/2021 15:05:46 | position: 0.49 9.88 0.05
INFO:root:Datetime: 28/07/2021 15:05:47 | position: 0.47 9.97 0.03
INFO:root:Datetime: 28/07/2021 15:05:47 | position: 0.47 9.78 0.04
INFO:root:Datetime: 28/07/2021 15:05:47 | position: 0.61 9.40 -0.11
INFO:root:Datetime: 28/07/2021 15:05:48 | position: 0.35 9.22 -0.00
INFO:root:Datetime: 28/07/2021 15:05:48 | position: 0.22 9.10 0.09
INFO:root:Datetime: 28/07/2021 15:05:48 | position: 0.13 9.06 0.14
INFO:root:Datetime: 28/07/2021 15:05:48 | position: 0.11 9.05 0.11
INFO:root:Datetime: 28/07/2021 15:05:49 | position: 0.09 9.06 0.11
INFO:root:Datetime: 28/07/2021 15:05:49 | position: 0.17 9.04 0.12
INFO:root:Datetime: 28/07/2021 15:05:49 | position: 0.27 9.04 0.09
INFO:root:Datetime: 28/07/2021 15:05:50 | position: 0.38 9.00 0.05
INFO:root:Datetime: 28/07/2021 15:05:50 | position: 0.44 9.02 0.06
INFO:root:Datetime: 28/07/2021 15:05:50 | position: 0.52 8.99 0.00
INFO:root:Datetime: 28/07/2021 15:05:51 | position: 0.46 9.00 0.04
INFO:root:Datetime: 28/07/2021 15:05:51 | position: 0.46 9.01 0.05
INFO:root:Datetime: 28/07/2021 15:05:51 | position: 0.46 8.99 0.05
INFO:root:Datetime: 28/07/2021 15:05:51 | position: 0.48 8.98 0.06
INFO:root:Datetime: 28/07/2021 15:05:52 | position: 0.44 8.99 0.09
INFO:root:Datetime: 28/07/2021 15:05:52 | position: 0.46 8.99 0.07
INFO:root:Datetime: 28/07/2021 15:05:52 | position: 0.46 8.99 0.08
INFO:root:Datetime: 28/07/2021 15:05:53 | position: 0.48 8.99 0.06
INFO:root:Datetime: 28/07/2021 15:05:53 | position: 0.50 8.99 0.04
INFO:root:Datetime: 28/07/2021 15:05:53 | position: 0.47 8.99 0.07
INFO:root:Datetime: 28/07/2021 15:05:54 | position: 0.46 9.00 0.06
INFO:root:Datetime: 28/07/2021 15:05:54 | position: 0.47 9.02 0.06
INFO:root:Datetime: 28/07/2021 15:05:54 | position: 0.47 9.02 0.07
INFO:root:Datetime: 28/07/2021 15:05:54 | position: 0.50 9.01 0.07
INFO:root:Datetime: 28/07/2021 15:05:55 | position: 0.50 9.01 0.05
INFO:root:Datetime: 28/07/2021 15:05:55 | position: 0.49 9.01 0.07
INFO:root:Datetime: 28/07/2021 15:05:55 | position: 0.46 9.00 0.08
INFO:root:Datetime: 28/07/2021 15:05:56 | position: 0.47 9.02 0.06
INFO:root:Datetime: 28/07/2021 15:05:56 | position: 0.47 9.01 0.06
INFO:root:Datetime: 28/07/2021 15:05:56 | position: 0.45 9.02 0.05
INFO:root:Datetime: 28/07/2021 15:05:57 | position: 0.46 9.03 0.04
INFO:root:Datetime: 28/07/2021 15:05:57 | position: 0.47 9.05 0.03
INFO:root:Datetime: 28/07/2021 15:05:57 | position: 0.46 9.04 0.04
INFO:root:Datetime: 28/07/2021 15:05:57 | position: 0.47 9.04 0.06
INFO:root:Datetime: 28/07/2021 15:05:58 | position: 0.45 9.04 0.07
INFO:root:Datetime: 28/07/2021 15:05:58 | position: 0.45 9.00 0.07
INFO:root:Datetime: 28/07/2021 15:05:58 | position: 0.48 9.00 0.07
INFO:root:Datetime: 28/07/2021 15:05:59 | position: 0.47 9.02 0.05
INFO:root:Datetime: 28/07/2021 15:05:59 | position: 0.50 9.06 0.02
INFO:root:Datetime: 28/07/2021 15:05:59 | position: 0.48 9.04 0.04
INFO:root:Datetime: 28/07/2021 15:06:00 | position: 0.44 9.03 0.06
INFO:root:Datetime: 28/07/2021 15:06:00 | position: 0.53 9.09 -0.06
INFO:root:Datetime: 28/07/2021 15:06:00 | position: 0.58 9.03 -0.05
INFO:root:Datetime: 28/07/2021 15:06:00 | position: 0.50 8.86 -0.05
INFO:root:Datetime: 28/07/2021 15:06:01 | position: 0.65 8.49 -0.17
INFO:root:Datetime: 28/07/2021 15:06:01 | position: 0.56 8.28 -0.22
INFO:root:Datetime: 28/07/2021 15:06:01 | position: 0.32 8.20 -0.29
INFO:root:Datetime: 28/07/2021 15:06:02 | position: 0.26 8.18 -0.29
INFO:root:Datetime: 28/07/2021 15:06:02 | position: 0.22 8.16 -0.25
INFO:root:Datetime: 28/07/2021 15:06:02 | position: 0.19 8.15 -0.24
INFO:root:Datetime: 28/07/2021 15:06:03 | position: 0.16 8.15 -0.21
INFO:root:Datetime: 28/07/2021 15:06:03 | position: 0.27 8.12 -0.28
INFO:root:Datetime: 28/07/2021 15:06:03 | position: 0.30 8.15 -0.15
INFO:root:Datetime: 28/07/2021 15:06:03 | position: 0.43 8.17 -0.09
INFO:root:Datetime: 28/07/2021 15:06:04 | position: 0.53 8.17 -0.08
INFO:root:Datetime: 28/07/2021 15:06:04 | position: 0.62 8.17 -0.06
INFO:root:Datetime: 28/07/2021 15:06:04 | position: 0.55 8.16 -0.05
